Setting,Case Count (Chamfer),Avg Train Chamfer Error,Avg Test Chamfer Error,Case Count (Track),Avg Train Track Error,Avg Test Track Error
Boba,22,0.01095765526406467,0.01900410127233375,22,0.028290425722206934,0.07713903824985725
Boba_Local,22,0.0071922522884878244,0.013686253562230955,22,0.008956678753720247,0.020890318009824122
