Setting,Case Count (Chamfer),Avg Train Chamfer Error,Avg Test Chamfer Error,Case Count (Track),Avg Train Track Error,Avg Test Track Error
Boba,22,0.010175070862963119,0.02366707727990367,22,0.02538340806456536,0.07292045262665738
Boba_Local,22,0.004732457312374291,0.012466420652344823,22,0.008104218307538904,0.020593299637421125
