Setting,Case Name,Train Track Error,Test Track Error
Boba,double_lift_cloth_1,0.006211089846328832,0.04561281528856073
Boba,double_lift_cloth_3,0.004907923943167667,0.036319219714237586
Boba,double_lift_sloth,0.02121183868231518,0.09169548828350871
Boba,double_lift_zebra,0.01643240878668924,0.0864072437915537
Boba,double_stretch_sloth,0.03597960968788965,0.02626356313904298
Boba,double_stretch_zebra,0.03341727477097272,0.03652286382081608
Boba,rope_double_hand,0.0464436761561598,0.061568731942679734
Boba,single_clift_cloth_1,0.008588014767420563,0.030294136532271903
Boba,single_clift_cloth_3,0.009089489908409163,0.053120205799738564
Boba,single_lift_cloth,0.07310824270437782,0.11612439886308633
Boba,single_lift_cloth_1,0.020225763667105257,0.07787648340066274
Boba,single_lift_cloth_3,0.023016778200312896,0.09321703270394752
Boba,single_lift_cloth_4,0.03994830063066813,0.16534481326547953
Boba,single_lift_dinosor,0.01779916615746284,0.04570920815548071
Boba,single_lift_rope,0.016135640216388684,0.0718544306854407
Boba,single_lift_sloth,0.016962002629639004,0.10080730112699363
Boba,single_lift_zebra,0.015668317494500015,0.07887805085629225
Boba,single_push_rope,0.015085033666438017,0.026513251682950392
Boba,single_push_rope_1,0.009823101066378138,0.031022549008152316
Boba,single_push_rope_4,0.022033181515309894,0.04497856140136719
Boba,single_push_sloth,0.031025020213311782,0.09103569246473767
Boba,weird_package,0.0753231027091925,0.19308391585946083
Boba_Local,double_lift_cloth_1,0.0032910841197008266,0.01956128411527191
Boba_Local,double_lift_cloth_3,0.0029098232604425262,0.009759534706568552
Boba_Local,double_lift_sloth,0.008279773550817654,0.024536368486128356
Boba_Local,double_lift_zebra,0.005228325300730574,0.028517633986969788
Boba_Local,double_stretch_sloth,0.0068614134894109755,0.009445509495984378
Boba_Local,double_stretch_zebra,0.008238198781168483,0.012217675397793452
Boba_Local,rope_double_hand,0.009540564904773171,0.01464508295757696
Boba_Local,single_clift_cloth_1,0.0033002193001183595,0.010983070184011012
Boba_Local,single_clift_cloth_3,0.0055259513830991855,0.014972967592378457
Boba_Local,single_lift_cloth,0.027309085093050574,0.0608775162209685
Boba_Local,single_lift_cloth_1,0.007971450551658085,0.024749500479436283
Boba_Local,single_lift_cloth_3,0.008672734468106043,0.027621804796000744
Boba_Local,single_lift_cloth_4,0.013314953128642896,0.024288118315430787
Boba_Local,single_lift_dinosor,0.006417889578141651,0.014516240970876355
Boba_Local,single_lift_rope,0.00506533169434132,0.01588569339364767
Boba_Local,single_lift_sloth,0.005047950652781232,0.02961926792676632
Boba_Local,single_lift_zebra,0.005360488171896173,0.025117211462929844
Boba_Local,single_push_rope,0.006506722336873794,0.013309952906436391
Boba_Local,single_push_rope_1,0.004541734784161524,0.007093907267387424
Boba_Local,single_push_rope_4,0.005922536247230151,0.010992054305970668
Boba_Local,single_push_sloth,0.009670078703809691,0.030030317870633944
Boba_Local,weird_package,0.01931649326490095,0.02431187918409705
