Setting,Case Name,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
Boba,double_lift_cloth_1,80,0.004732080269604921,35,0.01674247719347477
Boba,double_lift_cloth_3,81,0.003973822575062513,36,0.01896645501255989
Boba,double_lift_sloth,42,0.011170454323291779,19,0.030039295554161072
Boba,double_lift_zebra,39,0.010923437774181366,18,0.03533550351858139
Boba,double_stretch_sloth,133,0.011312104761600494,58,0.009179689921438694
Boba,double_stretch_zebra,137,0.01131040696054697,60,0.011652234941720963
Boba,rope_double_hand,183,0.01544872671365738,80,0.01901930198073387
Boba,single_clift_cloth_1,55,0.004100780002772808,24,0.01101992279291153
Boba,single_clift_cloth_3,66,0.00270774750970304,30,0.012455272488296032
Boba,single_lift_cloth,120,0.01647757738828659,52,0.021800635382533073
Boba,single_lift_cloth_1,76,0.010033665224909782,33,0.022202832624316216
Boba,single_lift_cloth_3,108,0.007827787660062313,47,0.019388418644666672
Boba,single_lift_cloth_4,119,0.010073322802782059,52,0.024590205401182175
Boba,single_lift_dinosor,59,0.013744082301855087,26,0.038831036537885666
Boba,single_lift_rope,34,0.010625680908560753,15,0.0307184848934412
Boba,single_lift_sloth,58,0.007930830121040344,26,0.04744025692343712
Boba,single_lift_zebra,45,0.007161400280892849,20,0.03349916636943817
Boba,single_push_rope,39,0.007668847683817148,18,0.01263259258121252
Boba,single_push_rope_1,63,0.005652806721627712,28,0.010771130211651325
Boba,single_push_rope_4,57,0.015642307698726654,25,0.03355558216571808
Boba,single_push_sloth,46,0.012528730556368828,21,0.01620534434914589
Boba,weird_package,26,0.02280495874583721,12,0.044629860669374466
Boba_Local,double_lift_cloth_1,80,0.0032888087444007397,35,0.009570409543812275
Boba_Local,double_lift_cloth_3,81,0.002468923106789589,36,0.014048982411623001
Boba_Local,double_lift_sloth,42,0.004627577029168606,19,0.018527809530496597
Boba_Local,double_lift_zebra,39,0.003670204197987914,18,0.01643400266766548
Boba_Local,double_stretch_sloth,133,0.004598350264132023,58,0.00551597960293293
Boba_Local,double_stretch_zebra,137,0.006311314646154642,60,0.007168585900217295
Boba_Local,rope_double_hand,183,0.004692372865974903,80,0.005757539067417383
Boba_Local,single_clift_cloth_1,55,0.0032969824969768524,24,0.007447054143995047
Boba_Local,single_clift_cloth_3,66,0.0017017823411151767,30,0.004539141897112131
Boba_Local,single_lift_cloth,120,0.010500865988433361,52,0.02127639390528202
Boba_Local,single_lift_cloth_1,76,0.004317070357501507,33,0.015468460507690907
Boba_Local,single_lift_cloth_3,108,0.004834796767681837,47,0.009410983882844448
Boba_Local,single_lift_cloth_4,119,0.006200879346579313,52,0.01884334161877632
Boba_Local,single_lift_dinosor,59,0.004882571753114462,26,0.012992152012884617
Boba_Local,single_lift_rope,34,0.00390714593231678,15,0.010160848498344421
Boba_Local,single_lift_sloth,58,0.0035956953652203083,26,0.027178745716810226
Boba_Local,single_lift_zebra,45,0.0032526059076189995,20,0.017389697954058647
Boba_Local,single_push_rope,39,0.004213041625916958,18,0.005856591742485762
Boba_Local,single_push_rope_1,63,0.003244022373110056,28,0.004485467914491892
Boba_Local,single_push_rope_4,57,0.0030557112768292427,25,0.005534757394343615
Boba_Local,single_push_sloth,46,0.007690102327615023,21,0.022656798362731934
Boba_Local,weird_package,26,0.009763236157596111,12,0.013997510075569153
